"","plant_height_cm","canopy_width_cm","leaf_area_index","spad_chlorophyll","ndvi_proxy","days_to_maturity","marketable_yield_t_ha","disease_score_1_9","vigor_score_1_9"
"plant_height_cm",1,0.984,0.925,-0.289,-0.104,0.903,0.613,0.755,0.217
"canopy_width_cm",0.984,1,0.948,-0.294,-0.099,0.891,0.662,0.73,0.273
"leaf_area_index",0.925,0.948,1,-0.344,-0.153,0.8,0.643,0.705,0.353
"spad_chlorophyll",-0.289,-0.294,-0.344,1,0.968,-0.325,0.342,-0.722,0.592
"ndvi_proxy",-0.104,-0.099,-0.153,0.968,1,-0.178,0.538,-0.601,0.693
"days_to_maturity",0.903,0.891,0.8,-0.325,-0.178,1,0.426,0.76,0.002
"marketable_yield_t_ha",0.613,0.662,0.643,0.342,0.538,0.426,1,0.135,0.799
"disease_score_1_9",0.755,0.73,0.705,-0.722,-0.601,0.76,0.135,1,-0.346
"vigor_score_1_9",0.217,0.273,0.353,0.592,0.693,0.002,0.799,-0.346,1
